rating,review-title,Comments,Label
1,But why Bollywood? Are you punishing us for keeping even the tiniest hope that Bollywood might improve?,"Animal is classic Bollywood garbage-rife with misogyny and senseless plot twists. The film lacks a cohesive storyline, drowning in a sea of unnecessary turns. What's truly entertaining is sifting through the suspicious 10/10 ratings. It becomes a game to spot the paid or bot-generated reviews, making this detective work more enjoyable than enduring the movie itself. In the realm of Bollywood disappointments, this movie serves as a reminder of the challenges in Bollywood filmmaking, where lackluster plots, an abundance of unnecessary twists, and a distressing dose of misogyny can overshadow any cinematic potential.",negative
1,Horrible! Yuck!,"After watching this movie, the only feeling that comes to mind is Yuck! This Venga way of story telling disgusts me as a viewer. One after one, this kind of movie is released by Venga, this one is no exception. This is toxic screenplay is torture to mind and eye of viewer. It has insane cruelty, misconduct, abuse that gives you yuckky feeling in 95% of the movie. I can not believe people spent so much money to watch this movie on theater, again proves the fact that nasty and filthy things still sold at a hight price in market. It is one time watch and are not worth watching again. Even OTT web series has more validity as a story than this movie. The most hyped movie which is a long screenplay but does not have any actual story to watch. Completely rejected!!!",negative
1,Such a shame for even animals to name this movie,"Ranbir personal show with no story, no logic and absurd action scenes. Anil Kapoor and boby are wasted totally, the film story is from the age where there are no law and enforcement exists you can do whatever you want to either it's your own country or you are in foreign kill as many people as want .... to make a century of corpses is like a piece of cake. Zero emotions and no chemistry between father and son....not even close to a worst family drama and yes it's not a family movie strong language lot of unwanted smooching and obscenity. Spend 3.5 hrs with your father or if you are father spend quality time with your son and save yourself from this disaster.",negative
2,Ew! Wtf is this?,"Let us not talk about mysogyny in the movie because that has been said a number of time, which btw is very true. But besides that, the dialogues, the plot, the acting, everything seems to be missing in the movie.Rashmika should NEVER try to speak in hindi. She mumbles a lot and sometimes it looks like her jaw is frozen. I don't know why she was casted in this movie. Her acting is REALLY REALLY bad and her character has ABSOLUTELY no self respect in the movie. Women in the movie are just props, like any other Vanga movie. Ranbir's acting is good. There is violence in the movie but I do not mind that unless there is justification for it or if it is done sensibly. Here, it is done just for the sake of it.",negative
1,Probably the worst movie I've ever seen,"You seriously need to question the sanity of the director, producers and even the actors of this film. I'm a bit traumatized by the movie, and Ive seen my fair share of gore. This movie was beyond bad. And the storyline defies logic which makes it even worse. Too many instances where basic questions and clarity in communication would've reduced the screen time from three hours to two hours max. The worst part is the director is planning on a sequel soon.If you value your hard earned money and your mental health, I would advise you to abstain from watching this 3 and a half hour torture of a film.",negative
1,A movie praising misogyny,"Bollywood as usual à man's world. The clear success of this shows how toxic the thought of viewers and the industry. Misogyny praised, cheating normalised. Just a garbage storyline put into together just to satisfy some men and fantasy of the director.From begining till the end, it normalized cheating by men, disrespect to women etc. The director clealry showed his disrespect towards women in life and showed unrealistic and unmatched masculity through raw sex scenes and violence.Movie is sickening to its core and breaks the society even more to disrespect women.Tried to imitate a bad version of bdsm movie like fifty shades of grey but conveyed very dark.",negative
1,not a movie but a cancer,"I would have given negative star if there would have been any option for that. This is a movie of the animal, for the animal and by the animal. Its just like a cancer which grows slowly inside your mind.Talking about film I feel that showing physopath character would have been justified if you prove that character to be wrong at the end of the movie. But it was opposite and proved him to be a macho man of what he has done. Sandeep Sir I must say you or directors like you are already sick. Hence, your films are a cancer for our societies.Talking about some of the fans, you also feel somewhere powerless in your life or feel like I am being oppressed under someone who is ruling or exploiting me. In this case, a revenge thought process develops inside your mind very slowly which in result reflects in such a way that when you starts watching these kind of gore/violence genre movies, you start loving all of that whether how much of gore scenes is being shown because you start feeling like yes this is me, this is my character and I also would have done this for taking revenge if I would have got chance. Your love towards violence genre goes to that much of extent that you even slam or backfires at those like me who criticizes these movies. But honestly speaking this is not your fault. To overcome this you must follow those sources which not only helps to make your mind stable and peaceful but also helps to spread good message for others.True famous quote-'Your brain is not a dustbin, respect that and consume healthy thoughts'.",negative
1,Nauseating,"Well, don't know what to write. Was not able to watch the movie.I am just wondering, if we should learn about the taste of the audience from the ratings here. How on earth an uncivilised, uncultured, nauseating movie can get 10 / 10 rating.My head hangs in shame when a movie like Animal is a hit.Have a suggestion to the audience who liked this movie, instead of imagining yourself as the Ranbir / Bobby imagine someone else as Ranbir / Bobby. This should give some perspective.Have a question for the director, what are you making ? Do you call it a form of art / creation ? I am wondering what type of sick people can direct, act in these types of movies.Before these actors, directors starts making the next movie, get yourself checked for mental illnesses because if untreated, can be harmful to society.",negative
1,This garbage glorifies school shooting enough said,"Complete garbage, glorifies school shooting, objectifying women, toxic realtionships, unstable personalities, degrading of mental health professionals.Any sensible person can not give this movie a great review, really please get a mental evaluation if you like the movie.How is a young student going with gun and shooting in college a glorifies thing now, when a whole country is suffering from such an endemic situation (US)?How is being toxic in a relationship and using sex as solution a glorified situation?How is the concept of alpha and idiots joining up for pride of family committing crime a glorifies situation?Beyond all these, massive, gigantic, colossal holes in plots and poorly developed characters. Honestly, the kind of garbage sometimes Bollywood produces is amazing, knowing that they have produced amazing works in similar vein like Gangs of wasseypur etc.... not even in same zip code these movies if they are trying to capture violence between two family and emotions for revenge...",negative
4,Disappointing,"""Animal,"" directed by Sandeep Reddy Vanga, offers a captivating experience with impressive background music, memorable songs, and technical finesse. However, the film stumbles in terms of story strength and screenplay execution, featuring temporal shifts that lack coherence and fail to enhance the narrative.While the first half engages with its fast pace, the second half unnecessarily prolongs the story, leaving the film feeling overly lengthy and lacking character development, especially with Ranbir Kapoor's character. His abrupt temporal shifts lack clear reasoning, contributing to a disjointed narrative.Despite a touching emotional scene between Anil Kapoor and Ranbir Kapoor towards the end, it arrives too late, leaving the audience fatigued and eager for closure. The credit scenes, though appealing, add to the film's unnecessary length.Ranbir Kapoor's character, portrayed as a hero, raises concerns due to his criminal actions, lack of respect for others, blatant misogyny, and attitude problems. The film's attempt to celebrate such a character is problematic, as it glorifies a man-child who in reality needs therapy.Actress Rashmika Mandanna's performance is very poor, making her unfit for the role. She was struggling to deliver convincing dialogue and lacked depth in her portrayal.It's disheartening to witness Bollywood failing with films like ""Animal."" The industry has the potential for impactful cinema but seems to fall for subpar narratives. They should strive for better storytelling and more nuanced character portrayals and should avoid the pitfalls of glorifying problematic characters for the sake of entertainment.",negative
